"registration_id","event_class","event_type","event_time","device_time","event_text","source_text","content_desc","view_id","node_index","package_name","timestamp","app_version","app_version_name"
"QRNYK74068",,,"103103633","09/06/2025 00:09:15","AcsSyncManager","PostingReceiver",,,,"postFiles","1749407955351","ConfluenceIN5.2.1.0",
"FBCFX97242","android.app.Notification","TYPE_NOTIFICATION_STATE_CHANGED","157953","09/06/2025 09:56:01",,,,,,"com.google.android.gms","1749443161063","ConfluenceTV3.0.0.2","21.48.57 (080306-424705839)"
"ZEDES00525",,,"453251886","09/06/2025 05:30:47","AcsSyncManager","PostingReceiver",,,,"postFiles","1749427247787","ConfluenceIN5.1.0.6",
"FBCFX97242",,,"2476394","09/06/2025 10:34:38","AcsSyncManager","PostingReceiver",,,,"collectAndPost","1749445478106","ConfluenceTV3.0.0.2",
"FBCFX97242",,,"2457759","08/06/2025 21:34:20","AcsSyncManager","PostingReceiver",,,,"postFiles","1749398660116","ConfluenceTV3.0.0.2",
"QRNYK74068",,,"103132880","09/06/2025 00:19:36","onNewL","loc","Location[fused 16.83****,81.58**** hAcc=2400.0 et=+3d6h20m21s863ms]",,,"loc_update","1749408576092","ConfluenceIN5.2.1.0",
"QRNYK74068",,,"103132953","09/06/2025 00:19:36",,"loc","16.8281513,81.CREDIT_CARD_REPLACED,null,Andhra Pradesh,null,null,Arugolanu,534146,IN,India",,,"loc_update","1749408576165","ConfluenceIN5.2.1.0",
"ZEDES00525","android.app.Notification","TYPE_NOTIFICATION_STATE_CHANGED","453265357","09/06/2025 05:32:11",,,,,,"com.whatsapp.w4b","1749427331190","ConfluenceIN5.1.0.6","2.25.16.82"
"ZEDES00525","android.widget.FrameLayout","TYPE_WINDOW_CONTENT_CHANGED","453297214","09/06/2025 05:33:02",,,,"com.android.systemui:id/notification_panel",,"com.android.systemui","1749427382615","ConfluenceIN5.1.0.6","14"
"QRNYK74068",,,"103192418","09/06/2025 00:49:15","AcsSyncManager","PostingReceiver",,,,"collectAndPost","1749410355310","ConfluenceIN5.2.1.0",
"FBCFX97242",,,"3543230","08/06/2025 21:52:25","onCapabilitiesChanged","100|[ Transports: WIFI Capabilities: NOT_METERED&INTERNET&NOT_RESTRICTED&TRUSTED&NOT_VPN&VALIDATED&NOT_ROAMING&FOREGROUND&NOT_CONGESTED&NOT_SUSPENDED Unwanted:  LinkUpBandwidth>=1048576Kbps LinkDnBandwidth>=1048576Kbps SignalStrength: -14]",,,,"NOD:ConnectivityJS:","1749399745586","ConfluenceTV3.0.0.2",
"FBCFX97242",,,"4857696","08/06/2025 22:14:20","AcsSyncManager","PostingReceiver",,,,"collectAndPost","1749401060052","ConfluenceTV3.0.0.2",
"ZEDES00525",,,"453314452","09/06/2025 05:35:01","SCREEN EVENT","android.intent.action.SCREEN_ON",,,,"android.intent.action.SCREEN_ON","1749427501795","ConfluenceIN5.1.0.6",""
"ZEDES00525","android.widget.ImageView","TYPE_WINDOW_STATE_CHANGED","453314316","09/06/2025 05:35:02",,,,,,"com.motorola.motolights","1749427502675","ConfluenceIN5.1.0.6","01.00.184"
"ZEDES00525","android.widget.TextView","TYPE_WINDOW_CONTENT_CHANGED","453319162","09/06/2025 05:35:07",,,,,,"com.android.systemui","1749427507013","ConfluenceIN5.1.0.6","14"
"ZEDES00525",,,"453320224","09/06/2025 05:35:07","SCREEN EVENT","android.intent.action.SCREEN_OFF",,,,"android.intent.action.SCREEN_OFF","1749427507566","ConfluenceIN5.1.0.6",""
"ZEDES00525",,,"453321908","09/06/2025 05:35:09","onNewL","loc","Location[fused 21.174891,79.644768 hAcc=100.0 et=+6d23h37m29s588ms alt=202.00001525878906 vAcc=100.0]",,,"loc_update","1749427509251","ConfluenceIN5.1.0.6",
"ZEDES00525",,,"453321921","09/06/2025 05:35:09",,"loc","21.175219300000002,79.6446184,Nagpur Division,Maharashtra,null,Rukhmini Nagar,Bhandara,441906,IN,India",,,"loc_update","1749427509263","ConfluenceIN5.1.0.6",
"ZEDES00525","android.app.Notification","TYPE_NOTIFICATION_STATE_CHANGED","453407335","09/06/2025 05:42:12",,,,,,"com.whatsapp.w4b","1749427932185","ConfluenceIN5.1.0.6","2.25.16.82"
"ZEDES00525","android.widget.FrameLayout","TYPE_WINDOW_CONTENT_CHANGED","453442283","09/06/2025 05:43:42",,,,"com.android.systemui:id/notification_panel",,"com.android.systemui","1749428022190","ConfluenceIN5.1.0.6","14"
"ZEDES00525",,,"453452612","09/06/2025 05:45:00","SCREEN EVENT","android.intent.action.SCREEN_ON",,,,"android.intent.action.SCREEN_ON","1749428100604","ConfluenceIN5.1.0.6",""
"ZEDES00525","android.widget.ImageView","TYPE_WINDOW_STATE_CHANGED","453452269","09/06/2025 05:45:01",,,,,,"com.motorola.motolights","1749428101276","ConfluenceIN5.1.0.6","01.00.184"
"ZEDES00525","android.widget.TextView","TYPE_WINDOW_CONTENT_CHANGED","453457099","09/06/2025 05:45:05",,,,,,"com.android.systemui","1749428105609","ConfluenceIN5.1.0.6","14"
"ZEDES00525",,,"453458330","09/06/2025 05:45:06","SCREEN EVENT","android.intent.action.SCREEN_OFF",,,,"android.intent.action.SCREEN_OFF","1749428106322","ConfluenceIN5.1.0.6",""
"ZEDES00525","android.app.Notification","TYPE_NOTIFICATION_STATE_CHANGED","453505452","09/06/2025 05:47:59",,,,,,"com.whatsapp.w4b","1749428279828","ConfluenceIN5.1.0.6","2.25.16.82"
"ZEDES00525","android.widget.FrameLayout","TYPE_WINDOW_CONTENT_CHANGED","453520536","09/06/2025 05:48:14",,,,"com.android.systemui:id/notification_panel",,"com.android.systemui","1749428294922","ConfluenceIN5.1.0.6","14"
"ZEDES00525","android.app.Notification","TYPE_NOTIFICATION_STATE_CHANGED","453552390","09/06/2025 05:50:48",,,,,,"com.whatsapp.w4b","1749428448349","ConfluenceIN5.1.0.6","2.25.16.82"
"ZEDES00525",,,"453561651","09/06/2025 05:50:57","onNewL","loc","Location[fused 21.174891,79.644768 hAcc=100.0 et=+6d23h53m17s429ms alt=202.00001525878906 vAcc=100.0]",,,"loc_update","1749428457095","ConfluenceIN5.1.0.6",
"ZEDES00525",,,"453561660","09/06/2025 05:50:57",,"loc","21.175219300000002,79.6446184,Nagpur Division,Maharashtra,null,Rukhmini Nagar,Bhandara,441906,IN,India",,,"loc_update","1749428457104","ConfluenceIN5.1.0.6",
"ZEDES00525","android.widget.FrameLayout","TYPE_WINDOW_CONTENT_CHANGED","453600700","09/06/2025 05:53:13",,,,"com.android.systemui:id/notification_panel",,"com.android.systemui","1749428593987","ConfluenceIN5.1.0.6","14"
"ZEDES00525",,,"453892827","09/06/2025 06:05:01","SCREEN EVENT","android.intent.action.SCREEN_ON",,,,"android.intent.action.SCREEN_ON","1749429301084","ConfluenceIN5.1.0.6",""
"ZEDES00525","android.app.Notification","TYPE_NOTIFICATION_STATE_CHANGED","453892412","09/06/2025 06:05:01",,,,,,"com.google.android.deskclock","1749429301183","ConfluenceIN5.1.0.6","7.13 (745094482)"
"ZEDES00525","android.widget.ImageView","TYPE_WINDOW_CONTENT_CHANGED","453892506","09/06/2025 06:05:01",,,,,,"com.android.systemui","1749429301311","ConfluenceIN5.1.0.6","14"
"ZEDES00525","com.android.deskclock.alarms.AlarmActivity","TYPE_WINDOW_STATE_CHANGED","453893322","09/06/2025 06:05:02",,,,,,"com.google.android.deskclock","1749429302085","ConfluenceIN5.1.0.6","7.13 (745094482)"
"ZEDES00525","android.widget.FrameLayout","TYPE_WINDOW_CONTENT_CHANGED","453893442","09/06/2025 06:05:02",,,,,,"com.android.systemui","1749429302206","ConfluenceIN5.1.0.6","14"
